class,comfort_level,correct
0,162,False
0,67,False
0,124,False
0,169,False
0,117,False
0,153,False
0,145,False
0,162,False
0,109,False
0,201,False
0,160,False
0,118,False
0,138,False
0,148,False
0,154,False
0,157,False
0,159,False
0,132,False
0,146,False
0,151,False
0,200,True
0,166,False
0,156,False
0,155,False
0,123,False
0,149,False
0,166,False
0,132,True
0,146,False
0,160,False
0,128,False
0,141,False
0,178,False
0,181,False
0,181,False
0,154,False
0,171,False
0,178,False
0,169,False
0,135,False
0,93,False
0,127,False
0,174,False
0,185,False
0,167,False
0,185,False
0,139,False
0,141,False
0,158,False
0,171,False
0,143,False
0,174,False
0,56,False
0,174,False
0,152,False
0,98,False
0,168,False
0,157,False
0,145,False
0,147,False
0,159,False
0,138,False
0,161,False
0,119,False
0,196,False
0,157,False
0,167,False
0,138,False
0,143,False
0,137,False
0,148,False
0,143,False
0,168,False
0,192,False
0,165,False
0,171,False
0,151,False
0,170,False
0,129,False
0,96,False
0,135,False
0,206,False
0,178,False
0,160,False
0,187,False
0,105,False
0,153,False
0,156,False
0,160,False
0,155,False
0,149,False
0,151,False
0,166,False
0,139,False
0,157,False
0,193,False
0,112,False
0,150,False
0,156,False
0,133,False
0,121,False
0,145,False
0,175,False
0,188,False
0,110,False
0,177,False
0,123,False
0,151,False
0,146,False
0,156,False
0,94,False
0,167,False
0,125,False
0,168,False
0,136,False
0,151,False
0,163,False
0,159,False
0,139,False
0,137,False
0,230,False
0,147,False
0,165,False
0,177,False
0,161,False
0,188,False
0,142,False
0,141,False
0,186,False
0,93,False
0,160,False
0,130,False
0,159,False
0,137,False
0,141,False
0,121,False
0,151,False
0,136,False
0,179,False
0,151,False
0,190,False
0,174,False
0,148,False
0,137,False
0,173,False
0,107,False
0,164,False
0,140,False
0,186,False
0,123,False
0,172,False
0,141,False
0,197,False
0,146,False
0,157,False
0,125,False
0,175,False
0,129,False
0,137,True
0,160,False
0,174,False
0,153,False
0,128,True
0,204,False
0,131,False
0,207,False
0,123,False
0,134,False
0,118,False
0,161,False
0,153,False
0,139,False
0,154,False
0,162,False
0,163,False
0,147,False
0,147,False
0,137,False
0,149,False
0,148,False
0,189,False
0,177,False
0,123,False
0,128,False
0,139,False
0,129,False
0,169,False
0,144,False
0,144,False
0,134,False
0,140,False
0,186,False
0,173,False
0,160,False
0,131,False
0,151,False
0,193,False
0,147,False
0,148,False
0,156,True
0,136,False
0,123,False
0,194,False
0,150,False
0,153,False
0,177,False
0,111,False
0,175,False
0,123,False
0,168,False
0,140,False
0,137,False
0,201,False
0,149,False
0,177,False
0,160,False
0,141,False
0,143,False
0,197,False
0,131,False
0,124,False
0,137,False
0,164,False
0,168,False
0,172,False
0,157,False
0,155,False
0,165,False
0,176,False
0,151,False
0,144,False
0,108,False
0,143,False
0,153,False
0,111,False
0,181,False
0,150,False
0,222,False
0,167,False
0,162,False
0,165,False
0,146,False
0,163,False
0,152,False
0,160,False
0,162,False
0,146,False
0,141,False
0,176,False
0,159,False
0,154,False
0,171,False
0,126,False
0,167,False
0,168,False
0,154,False
0,161,False
0,119,False
0,170,False
0,140,False
0,153,False
0,136,False
0,170,False
0,137,False
0,148,False
0,189,False
0,153,False
0,166,False
0,161,False
0,122,False
0,131,False
0,174,False
0,180,False
0,248,False
0,160,False
0,201,False
0,157,False
0,187,False
0,191,False
0,147,False
0,134,False
0,150,False
0,108,False
0,141,False
0,148,False
0,129,False
0,118,False
0,197,False
0,163,False
0,143,False
0,154,False
0,143,False
0,133,False
0,80,False
0,191,False
0,143,False
0,155,False
0,112,False
0,165,False
0,209,False
0,143,False
0,167,False
0,145,False
0,123,False
0,117,False
0,134,False
0,141,False
0,84,False
0,118,False
0,202,False
0,161,False
0,156,False
0,134,False
0,129,False
0,130,False
0,177,False
0,193,False
0,206,False
0,159,False
0,92,False
0,103,False
0,156,False
0,176,False
0,197,False
0,183,False
0,166,False
0,161,False
0,128,False
0,154,False
0,178,False
0,93,False
0,157,False
0,170,False
0,173,False
0,128,False
0,141,True
0,158,False
0,137,False
0,145,False
0,126,False
