class,comfort_level,correct
0,25,False
0,29,False
0,32,False
0,28,False
0,40,False
0,38,False
0,25,False
0,24,False
0,64,False
0,35,False
0,26,False
0,38,False
0,25,False
0,29,False
0,33,False
0,29,False
0,31,False
0,31,False
0,34,False
0,24,False
0,37,False
0,36,False
0,36,False
0,29,False
0,32,False
0,39,False
0,29,False
0,36,False
0,39,False
0,29,False
0,38,False
0,28,False
0,35,False
0,38,False
0,34,False
0,42,False
0,31,False
0,26,False
0,38,False
0,28,False
0,32,False
0,38,False
0,34,False
0,28,False
0,37,False
0,33,False
0,31,False
0,28,False
0,39,False
0,29,False
0,49,False
0,29,False
0,34,False
0,59,False
0,35,False
0,23,False
0,40,False
0,44,False
0,33,False
0,33,False
0,27,False
0,39,False
0,41,False
0,34,False
0,33,False
0,26,True
0,41,False
0,40,False
0,32,False
0,30,False
0,47,False
0,27,False
0,60,False
0,27,False
0,28,False
0,40,False
0,25,False
0,33,False
0,29,False
0,32,False
0,36,False
0,37,False
0,26,False
0,33,False
0,28,False
0,31,False
0,29,False
0,41,False
0,53,False
0,33,False
0,42,False
0,29,False
0,37,False
0,49,False
0,28,False
0,38,False
0,28,False
0,65,False
0,41,False
0,26,True
0,41,False
0,37,False
0,38,False
0,29,False
0,34,False
0,34,False
0,30,False
0,45,False
0,26,False
0,37,False
0,31,False
0,27,True
0,27,False
0,34,False
0,34,False
0,35,False
0,33,False
0,37,False
0,35,False
0,31,False
0,27,False
0,32,False
0,31,False
0,24,False
0,42,False
0,27,False
0,28,False
0,32,False
0,33,False
0,32,False
0,30,False
0,34,False
0,31,False
0,26,False
0,35,False
0,41,False
0,33,False
0,37,False
0,29,False
0,37,False
0,41,False
0,35,False
0,29,False
0,27,False
0,32,False
0,31,False
0,31,False
0,43,False
0,37,False
0,29,False
0,35,False
0,22,False
0,30,False
0,41,False
0,36,False
0,27,False
0,29,False
0,38,False
0,35,False
0,51,False
0,40,False
0,34,False
0,37,False
0,31,False
0,34,False
0,37,False
0,35,False
0,27,False
0,28,False
0,57,False
0,34,False
0,47,False
0,33,False
0,36,False
0,26,False
0,39,False
0,34,False
0,25,False
0,24,False
0,24,False
0,25,False
0,31,False
0,30,False
0,22,False
0,37,False
0,53,False
0,35,False
0,39,False
0,33,False
0,35,False
0,58,False
0,38,False
0,45,False
0,49,False
0,27,False
0,38,False
0,28,False
0,40,False
0,36,False
0,33,False
0,43,False
0,41,False
0,36,False
0,22,False
0,27,False
0,37,False
0,35,False
0,36,False
0,29,False
0,29,False
0,49,False
0,41,False
0,29,False
0,45,False
0,36,False
0,29,False
0,32,False
0,35,False
0,37,False
0,31,False
0,46,False
0,32,False
0,27,False
0,47,False
0,30,False
0,42,False
0,38,False
0,27,False
0,44,False
0,34,False
0,27,False
0,27,False
0,47,False
0,30,False
0,41,False
0,40,False
0,34,False
0,39,False
0,43,False
0,27,False
0,34,False
0,50,False
0,32,False
0,33,False
0,24,False
0,39,False
0,29,False
0,46,False
0,30,False
0,46,False
0,33,False
0,34,False
0,32,False
0,45,False
0,28,False
0,25,False
0,37,False
0,33,False
0,32,False
0,27,False
0,42,False
0,34,False
0,36,False
0,38,False
0,29,True
0,51,False
0,42,False
0,31,False
0,33,False
0,37,False
0,27,False
0,24,False
0,38,False
0,26,False
0,26,True
0,39,False
0,35,False
0,44,False
0,32,False
0,31,False
0,38,False
0,39,False
0,40,False
0,30,False
0,36,False
0,36,False
0,42,False
0,38,False
0,27,False
0,42,False
0,42,False
0,37,False
0,41,False
0,63,False
0,35,False
0,36,False
0,30,False
0,29,False
0,37,False
0,35,False
0,28,False
0,33,False
0,26,False
0,29,False
0,0,False
0,42,False
0,28,False
0,47,False
0,40,False
0,32,False
0,27,True
0,28,False
0,28,False
0,38,False
0,29,False
0,46,False
0,30,False
0,39,False
0,36,False
0,37,False
0,34,False
0,35,False
0,30,False
0,43,False
0,40,False
0,39,False
0,35,False
0,32,False
0,20,False
0,45,False
0,27,False
0,27,False
0,46,False
0,26,False
0,36,False
0,27,False
0,41,False
0,37,False
0,33,False
0,23,False
