class,comfort_level,correct
0,159,False
0,214,False
0,200,False
0,149,False
0,153,False
0,186,False
0,164,False
0,155,False
0,176,False
0,88,False
0,120,False
0,135,False
0,145,False
0,155,False
0,199,False
0,163,False
0,172,False
0,133,False
0,176,False
0,196,False
0,187,False
0,198,False
0,158,False
0,106,True
0,196,False
0,118,False
0,130,False
0,160,False
0,159,False
0,146,False
0,159,False
0,135,False
0,131,False
0,96,False
0,105,False
0,156,False
0,162,False
0,169,False
0,158,False
0,130,False
0,186,False
0,122,False
0,209,False
0,152,False
0,171,False
0,128,False
0,124,False
0,180,False
0,182,False
0,92,False
0,94,False
0,154,False
0,105,False
0,166,False
0,212,False
0,184,False
0,177,False
0,134,False
0,156,False
0,151,False
0,123,False
0,176,False
0,141,False
0,175,False
0,204,False
0,164,False
0,143,False
0,153,False
0,111,False
0,156,False
0,124,False
0,166,False
0,92,False
0,172,False
0,145,False
0,190,False
0,177,False
0,179,False
0,213,False
0,124,False
0,118,False
0,171,False
0,115,True
0,188,False
0,156,False
0,141,False
0,121,False
0,175,False
0,162,False
0,122,False
0,118,False
0,127,False
0,142,False
0,142,False
0,135,False
0,155,False
0,146,False
0,165,False
0,42,False
0,152,False
0,180,False
0,159,False
0,138,False
0,147,False
0,194,False
0,162,False
0,155,False
0,173,False
0,147,False
0,173,False
0,165,False
0,138,False
0,112,False
0,85,False
0,175,False
0,136,False
0,184,False
0,190,False
0,204,False
0,118,False
0,195,False
0,99,True
0,125,False
0,124,False
0,109,False
0,178,False
0,173,False
0,162,False
0,138,False
0,129,False
0,147,False
0,116,False
0,191,False
0,153,False
0,174,False
0,114,False
0,111,False
0,164,False
0,156,False
0,152,False
0,196,False
0,168,False
0,136,False
0,204,False
0,158,False
0,169,False
0,151,False
0,151,False
0,177,False
0,128,False
0,157,False
0,167,False
0,153,False
0,184,False
0,138,False
0,154,False
0,175,False
0,182,False
0,137,False
0,156,False
0,153,False
0,105,True
0,119,False
0,169,False
0,106,False
0,149,False
0,153,False
0,173,False
0,161,False
0,162,False
0,185,False
0,178,False
0,157,False
0,70,False
0,180,False
0,173,False
0,117,False
0,194,False
0,197,False
0,215,False
0,155,False
0,117,False
0,185,False
0,137,False
0,215,False
0,161,False
0,195,False
0,153,False
0,136,False
0,156,False
0,159,False
0,133,False
0,197,False
0,74,False
0,156,False
0,173,False
0,116,False
0,150,False
0,108,False
0,136,False
0,165,False
0,135,False
0,178,False
0,202,False
0,132,False
0,137,False
0,109,False
0,136,False
0,107,False
0,112,False
0,152,False
0,216,False
0,194,False
0,137,False
0,167,False
0,156,False
0,176,False
0,122,False
0,96,False
0,134,False
0,129,False
0,168,False
0,92,False
0,163,False
0,178,False
0,152,False
0,150,False
0,151,False
0,221,False
0,154,False
0,163,False
0,143,False
0,121,False
0,24,False
0,145,False
0,147,False
0,187,False
0,161,False
0,177,False
0,170,False
0,205,False
0,188,False
0,142,False
0,126,False
0,128,False
0,173,False
0,112,False
0,167,False
0,148,False
0,93,False
0,194,False
0,153,False
0,202,False
0,190,False
0,136,False
0,164,False
0,180,False
0,125,False
0,155,False
0,147,False
0,163,False
0,154,False
0,170,False
0,130,False
0,195,False
0,193,False
0,190,False
0,153,False
0,129,False
0,112,True
0,142,False
0,208,False
0,183,False
0,90,False
0,140,False
0,187,False
0,181,False
0,140,False
0,122,False
0,138,False
0,156,False
0,150,False
0,120,False
0,176,False
0,99,False
0,168,False
0,161,False
0,169,False
0,169,False
0,143,False
0,152,False
0,152,False
0,131,False
0,198,False
0,177,False
0,119,False
0,153,False
0,158,False
0,126,False
0,90,False
0,169,False
0,118,False
0,170,False
0,188,False
0,171,False
0,141,False
0,138,False
0,156,False
0,159,False
0,191,False
0,108,False
0,121,False
0,186,False
0,140,False
0,169,False
0,160,False
0,136,False
0,142,False
0,120,False
0,180,False
0,120,False
0,163,False
0,163,False
0,158,False
0,108,False
0,190,False
0,190,False
0,210,False
0,78,False
0,107,False
0,165,False
0,193,False
0,114,False
0,192,False
0,136,False
0,136,False
0,131,False
0,113,False
0,155,False
0,172,False
