class,comfort_level,correct
1,10,False
1,16,False
1,11,False
1,13,False
1,11,False
1,11,False
1,10,False
1,15,False
1,8,False
1,16,False
1,7,True
1,9,False
1,7,False
1,11,False
1,11,True
1,12,False
1,8,False
1,13,False
1,11,False
1,10,False
1,7,False
1,11,False
1,13,False
1,16,False
1,9,False
1,6,True
1,4,False
1,10,False
1,14,False
1,12,True
1,12,False
1,9,False
1,11,False
1,17,False
1,5,False
1,9,False
1,14,True
1,4,True
1,16,False
1,9,True
1,8,True
1,15,False
1,12,False
1,12,True
1,7,True
1,5,False
1,16,False
1,15,True
1,7,False
1,8,True
1,14,True
1,7,False
1,13,False
1,8,True
1,11,False
1,5,True
1,17,False
1,13,False
1,5,False
1,17,False
1,12,False
1,6,False
1,16,False
1,11,False
1,15,False
1,6,True
1,10,True
1,10,False
1,4,False
1,3,False
1,6,True
1,12,False
1,14,False
1,5,True
1,11,False
1,15,False
1,13,False
1,10,False
1,10,False
1,5,False
1,15,False
1,16,False
1,16,False
1,12,False
1,8,False
1,6,True
1,10,False
1,9,False
1,4,True
1,11,True
1,12,False
1,6,False
1,6,True
1,13,False
1,14,False
1,6,False
1,22,False
1,19,False
1,13,False
1,11,False
1,8,False
1,2,False
1,12,False
1,13,False
1,8,True
1,13,False
1,15,False
1,10,False
1,14,False
1,6,False
1,15,False
1,12,False
1,17,False
1,8,True
1,14,False
1,14,False
1,8,True
1,19,False
1,4,False
1,11,False
1,10,True
1,12,True
1,16,False
1,13,False
1,7,False
1,2,True
1,20,False
1,3,False
1,10,False
1,14,False
1,13,False
1,11,False
1,17,True
1,9,False
1,12,False
1,11,True
1,12,False
1,15,False
1,5,False
1,18,False
1,11,False
1,10,True
1,10,False
1,7,False
1,9,False
1,13,False
1,10,False
1,12,False
1,10,False
1,11,False
1,17,False
1,10,False
1,14,False
1,13,False
1,6,False
1,10,False
1,8,True
1,13,False
1,9,False
1,11,True
1,10,False
1,10,False
1,5,True
1,12,False
1,10,False
1,13,False
1,10,False
1,3,True
1,11,False
1,14,False
1,16,False
1,19,False
1,4,False
1,11,False
1,12,False
1,8,False
1,9,False
1,18,False
1,18,False
1,11,False
1,10,False
1,15,False
1,14,False
1,3,True
1,1,False
1,10,False
1,14,False
1,9,False
1,18,False
1,11,False
1,12,False
1,13,False
1,12,False
1,8,True
1,17,False
1,16,True
1,15,False
1,15,False
1,12,False
1,10,True
1,9,True
1,15,False
1,15,False
1,14,False
1,3,True
1,15,False
1,12,False
1,10,False
1,13,False
1,12,False
1,12,False
1,4,True
1,4,False
1,12,False
1,7,False
1,10,False
1,6,False
1,9,True
1,10,False
1,15,False
1,13,False
1,9,False
1,12,False
1,4,False
1,11,False
1,12,False
1,12,True
1,8,True
1,16,False
1,5,True
1,9,True
1,10,False
1,11,False
1,8,False
1,9,False
1,7,True
1,6,False
1,16,False
1,13,False
1,12,True
1,11,True
1,13,False
1,15,False
1,6,False
1,9,False
1,10,False
1,1,False
1,5,False
1,7,True
1,9,True
1,1,False
1,8,False
1,10,True
1,11,False
1,8,True
1,13,False
1,12,False
1,13,False
1,11,False
1,17,False
1,2,False
1,13,False
1,16,False
1,13,False
1,9,True
1,13,False
1,10,False
1,7,False
1,6,True
1,13,False
1,11,False
1,19,False
1,12,False
1,14,False
1,9,True
1,15,True
1,8,False
1,14,False
1,14,False
1,7,False
1,8,True
1,7,False
1,10,False
1,11,False
1,17,False
1,14,False
1,12,False
1,15,True
1,8,False
1,15,False
1,8,False
1,15,False
1,15,False
1,11,False
1,7,False
1,6,False
1,9,False
1,8,True
1,6,False
1,5,False
1,6,True
1,17,False
1,9,False
1,5,True
1,17,False
1,8,False
1,7,False
1,10,False
1,10,False
1,10,True
1,11,False
1,7,False
1,10,True
1,10,False
1,9,False
1,9,True
1,15,False
1,1,False
1,11,False
1,11,False
1,13,False
1,11,True
1,16,False
1,8,False
1,17,False
1,8,False
1,7,True
1,10,False
1,10,False
1,8,False
1,11,False
1,11,True
1,9,False
1,11,False
1,11,True
1,9,False
1,7,True
1,13,True
1,5,True
1,15,False
1,13,False
1,13,False
1,15,False
1,14,False
1,4,True
1,13,False
1,4,True
1,12,False
1,13,True
1,7,True
1,6,False
1,13,False
1,11,True
1,16,False
1,13,True
1,13,False
1,12,False
1,4,False
1,15,False
1,11,False
1,8,True
1,14,False
1,18,False
1,10,False
1,8,True
1,12,False
1,19,False
1,6,False
1,14,False
1,14,False
1,12,True
1,13,False
1,13,True
1,9,False
1,16,False
1,8,False
1,7,False
1,21,False
1,12,False
1,11,False
1,18,False
1,7,False
1,18,False
1,11,True
1,5,False
1,12,False
1,14,False
1,9,True
1,13,False
1,6,True
1,12,False
1,7,False
1,18,False
1,11,False
1,12,False
1,14,False
1,9,False
1,10,True
1,16,False
1,7,False
1,7,True
1,13,False
1,16,False
1,15,False
1,10,True
1,4,False
1,8,False
1,15,False
1,12,True
1,11,False
1,6,False
1,14,False
1,10,False
1,10,False
1,5,True
1,15,False
1,11,False
1,3,False
1,18,False
1,12,False
1,15,False
1,10,True
1,12,False
1,6,False
1,6,False
1,9,False
1,12,False
1,15,False
1,14,False
1,16,False
1,8,False
1,12,True
1,8,True
1,13,False
1,11,False
1,14,False
1,7,False
1,13,False
1,13,False
1,9,False
1,7,False
1,11,False
1,7,False
1,4,False
1,11,True
1,13,False
1,14,False
1,15,False
1,7,False
1,11,False
1,10,False
1,9,True
1,11,False
1,8,True
1,9,True
1,4,False
1,16,False
1,18,False
1,13,False
1,9,True
1,5,False
1,19,False
1,5,False
1,14,True
1,13,True
1,15,False
1,12,False
1,13,True
1,15,False
1,11,False
1,11,False
1,7,False
1,12,False
1,19,False
1,7,False
1,8,True
1,8,False
1,16,False
1,2,False
1,5,True
1,11,False
1,15,False
1,7,False
1,13,False
1,10,False
1,10,False
1,9,True
1,11,True
1,13,False
1,4,False
1,15,False
1,7,False
1,6,True
1,13,False
1,10,False
1,6,False
1,11,True
1,14,False
1,6,False
1,14,False
1,7,False
1,16,False
1,11,False
1,11,True
1,5,True
1,16,False
1,9,True
1,12,False
1,19,False
1,6,False
1,12,False
1,12,False
1,13,False
1,17,False
1,13,False
1,9,False
1,15,False
1,7,True
1,4,False
1,12,False
1,11,False
1,19,False
1,20,False
1,11,False
1,13,False
1,11,True
1,13,False
1,11,False
1,9,False
1,9,False
1,7,False
1,4,False
1,11,False
1,12,False
1,22,False
1,13,False
1,5,True
1,13,False
1,7,False
1,13,False
1,14,False
1,9,True
1,4,False
1,10,False
1,10,False
1,10,False
1,7,True
1,11,False
1,13,False
1,9,False
1,22,False
1,13,False
1,7,False
1,12,False
1,6,False
1,9,False
1,8,True
1,15,False
1,20,False
1,11,False
1,14,False
1,14,False
1,6,False
1,14,False
1,12,False
1,9,False
1,7,True
1,10,False
1,15,False
1,10,True
1,12,False
1,8,True
1,12,False
1,7,False
1,9,False
1,12,False
1,12,False
1,10,False
1,15,False
1,13,False
1,12,False
1,12,False
1,18,False
1,4,False
1,9,False
1,15,False
1,10,False
1,11,False
1,4,True
1,7,False
1,6,False
1,10,False
1,6,True
1,8,False
1,4,False
1,11,False
1,11,False
1,3,False
1,7,True
1,10,False
1,15,False
1,8,True
1,13,False
1,11,False
1,9,False
1,6,False
1,13,True
1,7,False
1,5,True
1,19,False
1,10,False
1,13,False
1,17,False
1,3,False
1,12,False
1,10,True
1,14,False
1,5,True
1,6,False
1,8,False
1,7,False
1,9,True
1,11,False
1,12,False
1,9,True
1,11,True
1,12,False
1,8,True
1,17,False
1,13,False
1,11,False
1,7,False
1,12,False
1,3,False
1,16,False
1,17,False
1,4,True
1,9,False
1,11,True
1,8,False
1,17,False
1,18,False
1,10,False
1,8,False
1,12,False
1,7,False
1,10,False
1,4,True
1,6,False
1,15,False
1,10,False
1,4,True
1,12,False
1,5,False
1,12,False
1,14,False
1,14,False
1,6,False
1,15,False
1,11,False
1,13,False
1,11,True
1,11,False
1,14,False
1,11,False
1,10,False
1,17,False
1,17,False
1,13,False
1,11,False
1,6,True
1,13,False
1,14,False
1,4,False
1,15,False
1,15,False
1,8,False
1,10,True
1,11,False
1,7,True
1,15,False
1,13,False
1,7,True
1,18,False
1,10,True
1,14,False
1,11,True
1,15,False
1,15,False
1,3,False
1,11,False
1,6,False
1,15,True
1,10,False
1,11,True
1,10,False
1,12,False
1,13,False
1,9,False
1,12,False
1,7,False
1,20,False
1,20,False
1,20,False
1,6,True
1,18,False
1,12,False
1,8,False
1,11,False
1,14,False
1,12,False
1,9,False
1,9,False
1,15,False
1,13,False
1,11,False
1,9,False
1,4,False
1,6,False
1,17,False
1,5,False
1,9,False
1,10,False
1,8,True
1,5,False
1,17,True
1,20,False
1,9,True
1,10,False
1,13,False
1,7,False
1,17,False
1,9,False
1,7,False
1,8,False
1,11,False
1,12,False
1,9,False
1,9,False
1,17,False
1,9,False
1,13,True
1,12,False
1,14,False
1,17,False
1,9,False
1,6,True
1,8,True
1,10,True
1,8,False
1,1,True
1,11,False
1,15,False
1,12,False
1,8,False
1,19,False
1,9,False
1,7,False
1,6,True
1,7,False
1,14,False
1,19,False
1,20,False
1,9,False
1,10,True
1,9,True
1,20,False
1,9,False
1,16,True
1,9,False
1,18,False
1,16,False
1,11,False
1,4,False
1,10,False
1,10,False
1,13,False
1,13,True
1,13,False
1,10,False
1,9,False
1,11,True
1,5,False
1,13,False
1,11,False
1,13,False
1,12,False
1,18,False
1,16,False
1,8,False
1,17,False
1,11,False
1,12,False
1,10,False
1,7,True
1,19,False
1,12,False
1,8,False
1,17,False
1,8,True
1,7,False
1,6,True
1,9,False
1,12,False
1,4,True
1,10,False
1,7,False
1,12,True
1,9,False
1,17,False
1,8,False
1,10,False
1,12,True
1,16,False
1,9,False
1,10,True
1,11,False
1,9,False
1,15,False
1,13,False
1,16,False
1,9,False
1,9,False
1,9,False
1,8,False
1,13,False
1,14,False
1,7,False
1,12,False
1,8,False
1,9,False
1,3,True
1,10,False
1,10,True
1,17,False
1,7,False
1,6,False
1,11,False
1,15,False
1,7,False
1,7,True
1,4,True
1,15,False
1,11,False
1,20,False
1,6,True
1,12,False
1,12,False
1,14,False
1,11,False
1,16,False
1,23,False
1,9,True
1,15,False
1,12,False
1,13,False
1,9,True
1,6,False
1,9,False
1,5,True
1,10,False
1,12,False
1,13,False
1,12,False
1,17,False
1,9,False
1,12,False
1,7,False
1,9,False
1,3,True
1,9,False
1,9,False
1,5,True
1,4,True
1,11,False
1,11,False
1,7,True
1,10,False
1,9,True
1,9,False
1,11,False
1,11,False
1,16,False
1,7,False
1,17,False
1,13,False
1,9,True
1,8,True
1,12,False
1,4,False
1,12,True
1,12,False
1,11,False
1,9,False
1,12,False
1,13,False
1,8,False
1,4,False
1,8,False
1,16,False
1,13,True
1,13,False
1,8,False
1,7,False
1,13,False
1,14,False
1,10,False
1,6,True
1,14,False
1,12,False
1,16,False
1,12,False
1,5,False
1,12,False
1,7,False
1,11,False
1,10,False
1,8,False
1,13,False
1,14,False
1,11,False
1,13,True
1,14,False
1,6,True
1,9,False
1,8,False
1,4,False
1,12,False
1,15,False
1,12,False
1,13,False
1,5,False
1,15,False
1,10,False
1,7,False
1,10,False
1,20,False
1,10,False
1,7,True
1,9,False
1,14,False
1,13,False
1,11,False
1,8,True
1,14,False
1,14,False
1,11,True
1,6,False
1,15,False
1,10,False
1,15,False
1,15,False
1,13,True
1,15,False
1,6,True
1,10,False
1,15,False
1,14,False
1,10,True
1,8,False
1,14,False
1,13,False
1,5,False
1,10,False
1,13,True
1,11,False
1,16,False
1,11,True
1,15,False
1,6,False
1,7,True
1,1,True
1,7,False
1,17,False
1,5,False
1,10,False
1,11,False
1,2,False
1,15,False
1,14,False
1,5,True
1,13,False
1,13,False
1,13,False
1,12,False
1,4,False
1,3,True
1,12,False
1,15,False
1,11,False
1,7,False
1,11,False
1,13,False
1,14,False
1,9,False
1,11,True
1,11,False
1,14,False
1,9,True
1,9,False
1,4,False
1,6,True
1,4,True
1,19,False
1,17,False
1,12,False
1,13,False
1,7,False
1,8,True
1,12,False
1,12,False
1,9,True
1,12,False
1,16,False
1,4,False
1,4,False
1,9,True
1,5,False
1,19,False
1,13,True
1,19,False
1,15,False
1,19,False
1,11,False
1,11,True
1,13,False
1,12,False
1,15,False
1,17,False
1,3,True
1,15,True
1,5,False
1,11,True
1,9,False
1,11,False
1,14,False
1,12,False
1,20,False
1,9,False
1,11,False
1,17,False
1,6,False
1,12,True
1,14,True
1,9,True
1,8,False
1,12,False
1,9,False
1,12,False
1,4,True
1,10,False
1,10,False
1,8,True
1,14,False
1,12,False
1,4,True
1,5,False
1,16,False
1,11,False
1,10,False
1,10,False
1,9,False
1,12,False
1,15,False
1,9,False
1,9,True
1,15,False
1,7,True
1,10,False
1,9,False
1,14,False
1,12,False
1,8,False
1,17,False
1,10,True
1,8,False
1,10,False
1,14,False
1,4,False
1,19,False
1,6,False
1,12,True
1,12,False
1,10,True
1,11,False
1,18,False
1,10,False
1,8,False
1,10,False
1,9,True
1,7,True
1,15,False
1,10,True
1,19,False
1,13,False
1,8,False
1,11,True
1,8,False
1,14,False
1,9,True
1,8,False
1,11,False
1,8,True
1,4,False
1,3,True
1,16,False
1,11,False
1,12,False
1,3,False
1,10,False
1,13,False
1,5,False
1,15,False
1,11,False
1,10,False
1,10,True
1,8,False
1,14,True
1,8,False
1,12,False
1,17,False
1,7,True
1,11,False
1,9,False
1,2,False
1,13,False
1,2,False
1,9,True
1,12,False
1,8,False
1,4,True
1,9,True
1,7,False
1,10,False
1,15,False
1,16,True
1,16,False
1,3,False
1,16,False
1,11,False
1,7,True
1,6,False
1,9,False
1,5,False
1,10,True
1,8,False
1,17,False
1,16,False
1,12,False
1,12,False
1,6,True
1,9,True
1,8,False
1,11,False
1,13,False
1,9,False
1,14,True
1,9,False
1,8,False
1,12,False
1,12,True
1,14,False
1,6,False
1,7,False
1,16,False
1,6,False
1,15,False
1,13,False
1,12,False
1,14,False
1,9,True
1,15,False
1,15,False
1,13,False
1,12,False
1,11,False
1,7,False
1,10,False
1,13,False
1,18,False
1,9,False
1,7,True
1,5,False
1,7,False
1,12,True
1,11,False
1,7,True
1,13,True
1,14,False
1,11,False
1,10,False
1,5,False
1,13,False
1,12,True
1,9,False
1,8,False
1,10,False
1,7,False
1,12,False
1,10,False
1,7,False
1,12,True
1,2,True
1,11,True
1,18,False
1,7,False
1,13,False
1,16,False
1,15,False
1,8,False
1,5,True
1,18,False
1,1,False
1,7,False
1,9,False
1,10,True
1,6,True
1,8,False
1,15,False
1,9,False
1,7,False
1,12,False
1,10,False
1,14,False
1,10,False
1,6,False
1,8,False
1,10,False
1,7,True
1,13,False
1,9,True
1,12,True
1,16,False
1,6,False
1,8,False
1,17,False
1,13,False
1,5,True
1,13,False
1,11,False
1,10,False
1,10,False
1,9,False
1,15,False
1,17,False
1,13,False
1,10,True
1,9,False
1,5,True
1,12,False
1,9,True
1,9,False
1,16,False
1,10,False
1,10,False
1,4,True
1,14,False
1,13,False
1,12,False
1,4,True
1,15,False
1,8,False
1,8,True
1,8,False
1,10,False
1,14,False
1,7,False
1,8,True
1,11,False
1,8,False
1,14,False
1,14,False
1,11,False
1,9,False
1,13,False
1,16,False
1,15,False
1,18,False
1,10,False
1,14,False
1,18,False
1,8,False
1,4,True
1,10,True
1,9,True
1,12,False
1,7,False
1,5,False
1,15,False
1,8,True
1,13,False
1,3,False
1,4,True
1,10,False
1,9,False
1,8,True
1,16,False
1,7,False
1,12,False
1,12,False
1,17,False
1,16,False
1,14,True
1,13,False
1,9,False
1,12,False
1,10,False
1,4,False
1,12,False
1,9,False
1,3,True
1,7,True
1,6,False
1,13,False
1,12,False
1,16,False
1,17,False
1,18,False
1,6,True
1,10,False
1,17,False
1,11,False
1,12,False
1,8,True
1,13,False
1,8,True
1,10,False
1,17,False
1,10,False
1,11,False
1,10,False
1,12,True
1,15,False
1,11,True
1,16,False
1,5,True
1,6,False
1,12,False
1,9,False
1,5,True
1,13,False
1,12,False
1,15,False
1,15,False
1,15,False
1,10,False
1,14,False
1,9,True
1,14,False
1,5,True
1,10,False
1,21,False
1,16,False
1,8,False
1,2,False
1,11,True
1,15,False
1,13,False
1,8,True
1,10,False
1,7,False
1,8,False
1,20,False
1,7,True
1,8,False
1,15,False
1,11,False
1,10,False
1,6,True
1,10,False
1,13,False
1,10,False
1,12,False
1,11,False
1,13,True
1,3,False
1,13,False
1,9,False
1,9,True
1,13,False
1,13,False
1,7,False
1,8,False
1,14,False
1,12,False
1,6,False
1,4,False
1,7,True
1,14,False
1,9,False
1,9,False
1,4,True
1,10,False
1,8,False
1,9,False
1,14,False
1,16,False
1,11,False
1,13,False
1,13,False
1,13,True
1,11,False
1,11,False
1,19,False
1,11,False
1,13,False
1,5,True
1,13,False
1,12,False
1,10,False
1,16,False
1,10,False
1,15,False
1,15,True
1,7,False
1,12,False
1,8,False
1,20,False
1,10,False
1,10,False
1,10,False
1,2,False
1,9,True
1,10,False
1,9,False
1,9,False
1,14,False
1,14,False
1,11,False
1,11,False
1,18,False
1,10,False
1,9,False
1,8,True
1,6,False
1,6,False
1,7,False
1,15,False
1,17,False
1,9,False
1,12,False
1,7,False
1,7,False
1,9,False
1,6,False
1,10,False
1,10,True
1,11,False
1,10,False
1,9,False
1,17,False
1,11,False
1,14,False
1,5,False
1,14,False
1,6,False
1,16,False
1,4,True
1,12,False
1,11,False
1,14,False
1,12,False
1,12,False
1,18,False
1,14,False
1,14,False
1,10,False
1,10,False
1,14,False
1,10,False
1,11,False
1,8,False
1,16,False
1,9,False
1,16,False
1,14,True
1,12,False
1,17,False
1,13,False
1,7,False
1,6,True
1,7,False
1,5,False
1,13,False
1,6,True
1,13,False
1,11,False
1,6,False
1,13,True
1,0,True
1,12,True
1,15,False
1,15,False
1,16,False
1,14,False
1,15,False
1,6,True
1,14,False
1,14,False
1,12,False
1,12,False
1,11,False
1,9,False
1,13,False
1,12,False
1,7,True
1,9,False
1,1,True
1,9,False
1,19,False
1,5,False
1,14,False
1,14,True
1,4,True
1,15,False
1,3,True
1,9,True
1,14,False
1,8,False
1,13,False
1,13,False
1,14,False
1,9,False
1,10,False
1,17,False
1,17,False
1,11,False
1,15,False
1,7,True
1,8,False
1,14,False
1,16,False
1,12,False
1,2,True
1,13,False
1,11,False
1,9,False
1,6,True
1,13,False
1,9,True
1,7,False
1,14,False
1,18,False
1,18,False
1,5,False
1,12,True
1,17,False
1,14,False
1,19,False
1,8,True
1,10,True
1,12,False
1,16,False
1,9,False
1,14,False
1,10,False
1,12,False
1,11,False
1,6,False
1,10,False
1,11,False
1,5,True
1,12,False
1,9,False
1,3,False
1,10,False
1,7,False
1,8,True
1,6,False
1,9,False
1,8,True
1,5,True
1,8,False
1,9,False
1,9,False
1,9,False
1,15,False
1,14,False
1,10,False
1,5,False
1,12,False
1,11,False
1,16,False
1,9,True
1,9,True
1,8,False
1,3,False
1,16,False
1,17,False
1,10,True
1,9,True
1,13,False
1,11,False
1,8,False
1,12,False
1,13,False
1,9,True
1,14,False
1,1,True
1,13,False
1,12,False
1,12,False
1,16,False
1,8,False
1,6,False
1,2,True
1,8,False
1,12,False
1,12,False
1,10,False
1,10,False
1,14,False
1,8,False
1,18,False
1,4,True
1,7,True
1,9,False
1,13,False
1,6,True
1,12,False
1,11,False
1,8,False
1,8,True
1,10,True
1,14,False
1,18,False
1,9,False
1,18,False
1,5,True
1,13,False
1,8,False
1,13,False
1,12,False
1,12,False
1,13,False
1,12,False
1,20,False
1,13,False
1,11,False
1,5,True
1,14,False
1,8,False
1,10,False
1,8,False
1,11,True
1,8,True
1,12,False
1,8,True
1,11,False
1,10,False
1,16,False
1,11,False
1,17,False
1,4,False
1,3,False
1,10,True
1,17,False
1,8,False
1,15,False
1,13,False
1,7,True
1,11,False
1,7,False
1,14,False
1,9,True
1,12,False
1,18,False
1,16,False
1,12,False
1,13,False
1,16,False
